step,eligible_transfer_count,fraudulent_transfer_count,legitimate_transfer_count,fraud_rate_percent
0,2402,1177,1225,49.00083263946711074104912573
1,2556,1273,1283,49.80438184663536776212832551
2,2689,1265,1424,47.04351059873558943845295649
3,2652,1205,1447,45.43740573152337858220211161
4,2614,1158,1456,44.29992348890589135424636572
5,2501,1106,1395,44.22231107556977209116353459
6,2437,1015,1422,41.64956914238818219121871153
7,2505,1064,1441,42.47504990019960079840319361
8,2900,1115,1785,38.44827586206896551724137931
9,3221,1174,2047,36.44830797888854393045638001
10,3517,1270,2247,36.11032129655956781347739551
11,3664,1263,2401,34.47052401746724890829694323
12,3789,1259,2530,33.22776458168382158880971233
13,3872,1292,2580,33.36776859504132231404958678
14,4083,1248,2835,30.56576047024246877296105805
15,4284,1267,3017,29.57516339869281045751633987
16,4279,1183,3096,27.64664641271325075952325310
17,4382,1209,3173,27.59014148790506617982656321
18,4674,1245,3429,26.63671373555840821566110398
19,4736,1312,3424,27.70270270270270270270270270
20,4625,1219,3406,26.35675675675675675675675676
21,4472,1216,3256,27.19141323792486583184257603
22,4291,1233,3058,28.73456070845956653460731764
23,4106,1226,2880,29.85874330248416950803701900
24,3979,1326,2653,33.32495601910027645136969088
25,3898,1245,2653,31.93945613134940995382247306
26,3863,1231,2632,31.86642505824488739321770645
27,3859,1193,2666,30.91474475252656128530707437
28,3783,1229,2554,32.48744382765001321702352630
29,3804,1231,2573,32.36067297581493165089379600
30,3832,1196,2636,31.21085594989561586638830898
31,3876,1248,2628,32.19814241486068111455108359
32,3844,1190,2654,30.95733610822060353798126951
33,3827,1204,2623,31.46067415730337078651685393
34,3884,1200,2684,30.89598352214212152420185376
35,4233,1290,2943,30.47484053862508858965272856
36,4697,1193,3504,25.39919097296146476474345327
37,4308,1244,3064,28.87650882079851439182915506
38,4351,1277,3074,29.34957481038841645598712940
39,4136,1260,2876,30.46421663442940038684719536
40,4727,1223,3504,25.87264649883647133488470489
41,4706,1185,3521,25.18062048448788780280492988
42,4867,1262,3605,25.92973084035340045202383398
43,4896,1204,3692,24.59150326797385620915032680
44,4799,1224,3575,25.50531360700145863721608668
45,4671,1281,3390,27.42453436095054592164418754
46,4515,1283,3232,28.41638981173864894795127353
47,4295,1220,3075,28.40512223515715948777648428
48,4135,1146,2989,27.71463119709794437726723096
49,3932,1211,2721,30.79857578840284842319430315
50,3967,1292,2675,32.56869170657927905218048903
51,3915,1238,2677,31.62196679438058748403575990
52,3955,1240,2715,31.35271807838179519595448799
53,3888,1210,2678,31.12139917695473251028806584
54,3944,1243,2701,31.51622718052738336713995943
55,3911,1256,2655,32.11454870877013551521350038
56,3980,1218,2762,30.60301507537688442211055276
57,3982,1250,2732,31.39126067302862882973380211
58,3887,1243,2644,31.97838950347311551324929251
59,3904,1233,2671,31.58299180327868852459016393
60,3923,1302,2621,33.18888605658934488911547285
61,3949,1245,2704,31.52696885287414535325398835
62,3938,1250,2688,31.74200101574403250380904012
63,3892,1223,2669,31.42343268242548818088386434
64,3913,1224,2689,31.28034755941732685918732430
65,3965,1226,2739,30.92055485498108448928121059
66,3932,1163,2769,29.57782299084435401831129196
67,3980,1267,2713,31.83417085427135678391959799
68,3911,1246,2665,31.85885962669394016875479417
69,3970,1228,2742,30.93198992443324937027707809
70,3929,1223,2706,31.12751336217867141766352762
71,3903,1196,2707,30.64309505508583141173456316
72,3976,1247,2729,31.36317907444668008048289738
73,3907,1202,2705,30.76529306373176350140772972
74,3905,1224,2681,31.34443021766965428937259923
75,3973,1224,2749,30.80795368738988170148502391
76,3939,1198,2741,30.41381061183041381061183041
77,3897,1248,2649,32.02463433410315627405696690
78,3879,1202,2677,30.98736787831915442124258830
79,3942,1197,2745,30.36529680365296803652968037
80,3894,1229,2665,31.56137647663071391884951207
81,3868,1218,2650,31.48914167528438469493278180
82,3869,1268,2601,32.77332644094081157921943655
83,3893,1233,2660,31.67223221166195735936295916
84,3887,1188,2699,30.56341651659377411885773090
85,3887,1182,2705,30.40905582711602778492410599
86,3953,1209,2744,30.58436630407285605868960283
87,3922,1239,2683,31.59102498725140234574196838
88,3855,1246,2609,32.32166018158236057068741894
89,3866,1202,2664,31.09156751163993792033109157
90,3881,1229,2652,31.66709610925019324916258696
91,3873,1217,2656,31.42266976504002065582235993
92,3875,1208,2667,31.17419354838709677419354839
93,4006,1220,2786,30.45431852221667498751872192
94,4168,1200,2968,28.79078694817658349328214971
95,4111,1205,2906,29.31160301629773777669666748
96,4130,1214,2916,29.39467312348668280871670702
97,3986,1204,2782,30.20572002007024586051179127
98,3933,1213,2720,30.84159674548690566997203153
99,3935,1186,2749,30.13977128335451080050825921
100,3946,1248,2698,31.62696401419158641662442980
101,3953,1248,2705,31.57095876549456109284088034
102,3941,1163,2778,29.51027657954833798528292312
103,3919,1234,2685,31.48762439397805562643531513
104,3930,1162,2768,29.56743002544529262086513995
105,3918,1229,2689,31.36804492087799897907095457
106,3913,1159,2754,29.61921799131101456682852032
107,3899,1133,2766,29.05873300846370864324185689
108,3902,1249,2653,32.00922603792926704254228601
109,3951,1249,2702,31.61225006327512022272842318
110,3894,1186,2708,30.45711350796096558808423215
111,3968,1236,2732,31.14919354838709677419354839
112,3918,1242,2676,31.69984686064318529862174579
113,3947,1293,2654,32.75905751203445654927793261
114,3896,1177,2719,30.21047227926078028747433265
115,3891,1177,2714,30.24929324081213055769725006
116,3881,1171,2710,30.17263591857768616335995877
117,3887,1232,2655,31.69539490609724723437098019
118,3857,1179,2678,30.56779880736323567539538501
119,4108,1189,2919,28.94352482960077896786757546
120,4017,1166,2851,29.02663679362708488922081155
121,3988,1223,2765,30.66700100300902708124373119
122,3948,1215,2733,30.77507598784194528875379939
123,3969,1262,2707,31.79642227261274880322499370
124,3928,1226,2702,31.21181262729124236252545825
125,3871,1224,2647,31.61973650219581503487470938
126,3907,1225,2682,31.35398003583312004095213719
127,3873,1171,2702,30.23495997934417764007229538
128,3941,1255,2686,31.84470946460289266683582847
129,3911,1219,2692,31.16849910508821273331628739
130,3914,1164,2750,29.73939703628002043944813490
131,3893,1234,2659,31.69791934240945286411507835
132,3851,1172,2679,30.43365359646844975331082836
133,3930,1159,2771,29.49109414758269720101781170
134,4070,1153,2917,28.32923832923832923832923833
135,4088,1191,2897,29.13405088062622309197651663
136,4293,1220,3073,28.41835546238061961332401584
137,4392,1240,3152,28.23315118397085610200364299
138,4385,1227,3158,27.98175598631698973774230331
139,4886,1225,3661,25.07163323782234957020057307
140,4751,1247,3504,26.24710587244790570406230267
141,4585,1226,3359,26.73936750272628135223555071
142,4437,1183,3254,26.66215911652017128690556682
143,4265,1277,2988,29.94138335287221570926143025
